Hindi,Transliteration
स्टॉपेज,śṭŏpêj
द्विगूढ़,dvigū
द्विगूढ़ों,dvigūôn
दोलायन,dôlāyan
स्विसबैंक,śviśabaink
दंशहीन,dnshahīn
अपोज़िट,apôiṭ
स्पेंडर,śpênḍar
प्रोटोमाइटोसिस,prôṭômāeṭôśiś
बैँजना,bain̐janā
बैँजनी,bain̐janī
चौंटना,caunṭanā
खाखरा,khākharā
खाखरी,khākharī
वोयाज,vôyāj
नकटना,nakaṭanā
चिपिटनास,cipiṭanāś
वचक,vacak
हुडुक्कु,huḍukku
धमाक,dhamāk
धमाकों,dhamākôn
धमाका,dhamākā
धमाके,dhamākê
पठोहार,pṭahôhār
नगरादि,nagarādi
गुरगंज,guragnj
उत्फुल्ल,utfull
उत्फुल्लता,utfullatā
दंत-उपचार,dntupacār
खुर-खुरापन,khurkahurāpan
सुख़नआरा,śunaarā
रेनिडाई,rêniḍāi
स्वपशंसी,śvapsahnśī
फर्ज़न्द,farnd
न्युयोर्क,nyuyôrk
सगे-संबंधी,śagêśnbndhī
भोंडल,bhônḍal
भोंडला,bhônḍalā
कलाएं,kalāan
कृपानिधान,kripānidhān
कृपानिधानों,kripānidhānôn
अवाक्ष,avākshh
बेग़रज़,bêr
सर्वश्रेष्ठत,śarvsahrêshhṭhat
सर्वश्रेष्ठता,śarvsahrêshhṭhatā
जनपदीय,janapadīy
पश्चप्रभाव,psahcaprbahāv
बहुलित,bahulit
ऐनेरायड,aenêrāyaḍ
कोलेस्ल,kôlêśl
चुगलख़ोर,cugaalôr
चुगलख़ोरी,cugaalôrī
बान्धव,bāndhav
वर्गक्षेत्र,vargakshhêtr
दंगाफ़साद,dngāśād
कारि२,kāri
कारि३,kāri
भोंडा,bhônḍā
भोंडी,bhônḍī
वचन,vacan
वचनों,vacanôn
वचनदाता,vacanadātā
ज़रखेज़ी,rkahêī
भार्याट,bhāryāṭ
रॉबिनसन,rŏbinaśan
अंश-विषयक,anshavishhayak
जलनाडी,jalanāḍī
मातापिताहीन,mātāpitāhīn
करछाल,karcahāl
राइओं,rāeon
नीलपुष्पिका,nīlapushhpikā
गलारी,galārī
अल्पज्वर,alpajvar
णकारान्त,ṇakārānt
तस्मई,taśmi
बेदीवार,bêdīvār
वचर,vacar
कन्याभर्ता,kanyābhartā
मारुपन,mārupan
धमार,dhamār
रंगवाना,rngavānā
रंगवाने,rngavānê
संजोगिता,śnjôgitā
धमाल,dhamāl
धमालों,dhamālôn
धमाली,dhamālī
सिंहतुंड,śinhatunḍ
टपटप,ṭapaṭap
इमारत.,emāraat
सेवायोजक,śêvāyôjak
वचस,vacaś
वचसा,vacaśā
पढ़ौनी,paunī
पतिव्रता,pativratā
पतिव्रताओं,pativratāon
कोटाकचूर,kôṭākacūr
ऐक्सलरेटर,aekśalarêṭar
आँय-बाँय-शाँय,aan̐yabān̐ysahān̐y
अभ्यस्तत,abhyaśtat
अभ्यस्तता,abhyaśtatā
विनिश्चयसापेक्ष,vinishcayaśāpêkshh
विनिश्चयसापेक्षों,vinishcayaśāpêkshhôn
माउल्लहम,māullaham
सर्विंग,śarving
वचा,vacā
वचे,vacê
वचो,vacô
अल्पष्ठी,alpshahṭhī
नगाडा,nagāḍā
भूरिदक्षिण,bhūridakshhiṇ
व्यपनेता,vyapanêtā
बतावी,batāvī
भंडारित्र,bhnḍāritr
हव्यार्पण,havyārpaṇ
उच्छेदनवाद,ucchêdanavād
सानिर्णय,śānirṇay
सजडा,śajaḍā
उत्तंभित,uttnbhit
अर्धचक्राकार,ardhacakrākār
महत्त्वशाली,mahattvsahālī
कि॰ग्रा॰,kigrā
दुजपति,dujapati
लंबिनी,lnbinī
सेरेब्रम,śêrêbram
नाकहीन,nākahīn
स्वरुचि,śvaruci
सेवायोजन,śêvāyôjan
सेवायोजनों,śêvāyôjanôn
सप्तांशुपुंगव,śaptānshupungav
अनमाँगा,anamān̐gā
अनमाँगी,anamān̐gī
अनमाँगे,anamān̐gê
रुआंडा,ruaanḍā
रुआंडी,ruaanḍī
लँगड़ाहट,ln̐gāhaṭ
लिथियम,lithiyam
निर्णिक्तमना,nirṇiktamanā
जवाहारात,javāhārāt
सारांश्य,śārānshy
साभिनय,śābhinay
बोयोपॉलिमर,bôyôpŏlimar
वैक्युम,vaikyum
भ्राज,bhrāj
भ्राजी,bhrājī
महासमूह,mahāśamūh
महासमूहों,mahāśamūhôn
पूर्णांशत,pūrṇānshat
पूर्णांशता,pūrṇānshatā
खोरिया,khôriyā
खोरियाएँ,khôriyāan̐
खोरियाओं,khôriyāon
डंडाबरदार,ḍnḍābaradār
विषेशण,vishhêshaṇ
संहारक,śnhārak
संहारकता,śnhārakatā
बादुर,bādur
गैल्वनाइज़,gailvanāe
ब्लॉगियाऊंगा,blŏgiyāoongā
अढ़ैया,aaiyā
वैरागिणी,vairāgiṇī
पलायनवाद,palāyanavād
पलायनवादी,palāyanavādī
पलायनवादों,palāyanavādôn
भ्रात,bhrāt
भ्राता,bhrātā
प्रिश्नत,prishnat
आप्रिश्नत,aaprishnat
नशाखोर,nsahākhôr
नशाखोरी,nsahākhôrī
द्विपाट,dvipāṭ
ईस्टर,iśṭar
ईस्टरों,iśṭarôn
ईस्टरी,iśṭarī
अवैधलाभ,avaidhalābh
असम्मानत,aśammānat
साग़र,śār
ज्ञानिनी,jñaāninī
द्विपाद,dvipād
द्विपादा,dvipādā
भ्राम,bhrām
भ्रामी,bhrāmī
सृञ्जय,śriñajay
संहारण,śnhāraṇ
द्विगामी,dvigāmī
तस्मा,taśmā
तस्मे,taśmê
तस्मों,taśmôn
जागृवि,jāgrivi
अरज़ाँ,arān̐
डैसिकेटर,ḍaiśikêṭar
तैलाख्य,tailākhy
प्राणबेधी,prāṇabêdhī
उविर्जा,uvirjā
प्रक्षोभ,prakshhôbh
चलनौस,calanauś
फेडरैशन,fêḍaraishan
कविज्येष्ठ,kavijyêshhṭh
एक़रार,arār
बिलमाना,bilamānā
आपादन,aapādan
जायपत्री,jāyapatrī
होमवर्क,hômavark
होमवर्कों,hômavarkôn
शब्दयोनि,shabdayôni
पेनीरॉयल,pênīrŏyal
अर्धावृत्त,ardhāvritt
मनुकुल,manukul
कोसलकुमारी,kôśalakumārī
मल्लिकार्जुनेश्वर,mallikārjunêshvar
मल्लिकार्जुनेश्वरी,mallikārjunêshvarī
मल्लिकार्जुनेश्वरों,mallikārjunêshvarôn
क्लेष्टा,klêshhṭā
हृदयोन्माद,hridayônmād
हृदयोन्मादी,hridayônmādī
हृदयोन्मादों,hridayônmādôn
अत्युक्त,atyukt
ज़रगर,ragar
ज़रगरों,ragarôn
ज़रगरी,ragarī
निम्नतः,nimnatḥ 
बरबडोस,barabaḍôś
बरबडोसी,barabaḍôśī
संतारण,śntāraṇ
भाटकी,bhāṭakī
स्वाहेय,śvāhêy
संगोल्डा,śngôlḍā
शिरोवल्ली,shirôvallī
शशिदैव,shsahidaiv
जुन्नार,junnār
विषमपोषी,vishhamapôshhī
रागिनियों,rāginiyôn
चूषाणु,cūshhāṇu
संतोषीय,śntôshhīy
दैदीप्यमान,daidīpyamān
ख़ूबरू,ūbarū
कमनचा,kamanacā
प्रतिद्वंद्वित,pratidvndvit
प्रतिद्वंद्विता,pratidvndvitā
सिकहर,śikahar
सिकहरों,śikaharôn
कीट-नाशक,kīṭanāshak
समनुष्ठेय,śamanushhṭhêy
रास्तबाज,rāśtabāj
रेवारी,rêvārī
पलेना,palênā
स्वाहेस,śvāhêś
स्वाहेसों,śvāhêśôn
पैलस,pailaś
झुरावन,jhurāvan
झुरावना,jhurāvanā
पहूँचना,pahūn̐canā
लोकमान्य,lôkamāny
लोकमान्यता,lôkamānyatā
लोकमान्यों,lôkamānyôn
म्रग,mrag
गंगाल,gngāl
गंगालों,gngālôn
गंगाला,gngālā
चिटकना,ciṭakanā
चिटकनी,ciṭakanī
चिटकने,ciṭakanê
खालत्य,khālaty
निकरना,nikaranā
राजमुनि,rājamuni
नवशिक्षित,navsahikshhit
अरिराज,arirāj
अरिराजों,arirājôn
फलाकांक्षा,falākānkshhā
अंदाज,andāj
बेअंदाज,bêandāj
अँगुठी,an̐guṭhī
पुरगुर,puragur
दुर्वृत्तफलक,durvrittafalak
दुर्वृत्तफलकों,durvrittafalakôn
आदावतोऽस्य,aadāvatô'aśy
स्टैटफ़ैरैड,śṭaiṭairaiḍ
ताम्रपर्ण,tāmraparṇ
ताम्रपर्णी,tāmraparṇī
अस्पृहणीय,aśprihaṇīy
ऐलिजा,aelijā
तामीर,tāmīr
तामीरें,tāmīrên
तामीरों,tāmīrôn
तामीरी,tāmīrī
हरिणाश्व,hariṇāshv
कर्मी-दल,karmīdal
एकासी,akāśī
नंदिपटह,nndipaṭah
तामील,tāmīl
तामीलकर्ता,tāmīlakartā
तामीली,tāmīlī
लघुहमदुग्धा,lgahuhamadugdhā
प्रभातकालीन,prbahātakālīn
द्वयरूपीयता,dvayarūpīyatā
सर्फ़र,śarr
शस्त्रचिह्नधारी,shaśtracihndahārī
निम्नतट,nimnataṭ
सूर्यनंदन,śūryanndan
अमत्सर,amatśar
अमत्सरों,amatśarôn
गोरक्षनाथ,gôrakshhanāth
हरी-हरी,harīharī
जमुहा,jamuhā
जमुहाइयो,jamuhāeyô
जमुहावे,jamuhāvê
जमुहाई,jamuhāi
जमुहाकर,jamuhākar
जमुहाना,jamuhānā
जमुहाने,jamuhānê
जमुहाता,jamuhātā
जमुहाती,jamuhātī
जमुहाते,jamuhātê
जमुहाए,jamuhāa
जमुहाएगा,jamuhāagā
जमुहाएगी,jamuhāagī
जमुहाएँगीं,jamuhāan̐gīn
जमुहाएँगे,jamuhāan̐gê
जमुहाऊँ,jamuhāoon̐
जमुहाऊँगा,jamuhāoon̐gā
जमुहाऊँगी,jamuhāoon̐gī
जमुहाऊँगीं,jamuhāoon̐gīn
जमुहाइए,jamuhāea
जमुहाइएगा,jamuhāeagā
जमुहाइएगी,jamuhāeagī
जमुहाओ,jamuhāo
जमुहाओगे,jamuhāogê
जमुहाओगी,jamuhāogī
न्यूनत्रिभुज,nyūnatribhuj
कलोसिया,kalôśiyā
इराक-वासी,erākavāśī
इराक-वासिओं,erākavāśion
गूंचेआ,gūncêaa
त्रिपुरहर,tripurahar
कानक,kānak
कानकी,kānakī
कानकों,kānakôn
आदरहीन,aadarahīn
आदरहीनता,aadarahīnatā
अंदाम,andām
अंदामे,andāmê
माइक्रोफ़िज़िसिस्ट,māekrôiiśiśṭ
निशमन,nishaman
निशमनों,nishamanôn
बिनध्यास्त,bindahyāśt
जमधट,jamdahaṭ
जमीन,jamīn
बेजमीन,bêjamīn
नाभ्यायाम,nābhyāyām
यथासंभव,ytahāśnbhav
